Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Trident Hotel Cochin,4.5,kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,5406.0
"Nihara Resort & Spa, Kadamakudy Island, Kochi",4.3,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,4692.0
Ayurjani Ayurvedics,4.2,kochi,Sleeps 4,2 bedrooms,Air conditioning,Fireplace,Paid parking,No crib,No elevator,No fitness center,No ironing board,896.0
Niko Hotels,4.6,kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible,2073.0
Crowne Plaza Kochi,4.6,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,8776.0
The Gateway Hotel Marine Drive Ernakulam,4.3,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7252.0
Napier Heritage Fort Kochi,4.5,kochi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,3808.0
"Radisson Blu Hotel, Kochi",4.3,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6039.0
Maurya Rajadhani,4.0,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,2812.0
"Biverah Hotel and Suites, 4-star hotels in Trivandrum, Medical college, kims hospital, hotels in trivandrum, budget hotel",3.8,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2898.0
Montecello Home Stay,3.2,trivandrum,Free Wi-Fi,Paid parking,Pet-friendly,Beach access,Kitchen,Full-service laundry,Kid-friendly,0,0,643.0
HOTEL HIGHLAND,4.0,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1350.0
Ariya Nivaas - A Vegetarian Hotel,4.2,trivandrum,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,2401.0
PLANET RESIDENCY,4.5,trivandrum,Free Wi-Fi,Paid parking,Air conditioning,Breakfast,Kitchen,0,0,0,0,1263.0
Saras Park Inn,3.4,trivandrum,2-star hotel,Air conditioning,Kitchen,Full-service laundry,Kid-friendly,0,0,0,0,875.0
Stayzone Royal INN,3.7,trivandrum,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,909.0
Hotel Prathiba Heritage,3.7,trivandrum,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,Smoke-free,0,0,956.0
Adara Residency,4.3,trivandrum,0,0,0,0,0,0,0,0,0,1616.0
Hotel Venkateswara,3.7,trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,1347.0
Hilton Garden Inn Trivandrum,4.3,trivandrum,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6837.0
KTDC Grand Chaithram,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2509.0
Majestic Lodge,4.1,trivandrum,Free breakfast,Free Wi-Fi,Paid parking,Kitchen,0,0,0,0,0,1236.0
Safire Residency,4.0,trivandrum,3-star hotel,Wi-Fi,Air conditioning,Pet-friendly,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,1165.0
Hotel Sunday - Townhouse Club - Near Airport - Trivandrum,3.7,trivandrum,Breakfast,Free Wi-Fi,Free parking,Kitchen,Airport shuttle,Full-service laundry,0,0,0,1120.0
Meghna Residency,3.6,trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,Accessible,831.0
The South Gate By WB Hotels,3.9,trivandrum,Free breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Kid-friendly,0,0,0,2111.0
Anies Garden | Rooms in a Homestay,4.3,trivandrum,Sleeps 5,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,1645.0
Treebo Trend Goodland Residency,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,4265.0
Windsor Rajadhani,4.1,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4341.0
Backwater Ripples,4.4,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,8968.0
Lakesong Resort,4.2,kumarakom,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,11948.0
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6921.0
Cocobay Resort,4.2,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6138.0
Paradise Resorts Kumarakom,4.1,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Airport shuttle,5148.0
"The Zuri Kumarakom, Kerala Resort & Spa",4.3,kumarakom,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,13682.0
Saro Lake County,4.0,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,2945.0
Kumarakom Heritage Resort & Ayurveda,4.1,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,5355.0
Rhythm Kumarakom,4.5,kumarakom,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,14712.0
Manor Backwater Resort,3.8,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,3024.0
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3549.0
KTDC Waterscapes,4.5,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10560.0
Backwater Brook,4.7,kumarakom,Free breakfast,Free Wi-Fi,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0,0,5063.0
Gokulam Grand Resort and Spa Kumarakom,4.7,kumarakom,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,Room service,14059.0
Backwater Ripples,4.4,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,8961.0
Lily Pad on the Vembanad,4.2,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Spa,Restaurant,Room service,6160.0
Kumarakom Lake Resort,4.8,kumarakom,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,30267.0
Renai Green Fields,3.8,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,2849.0
Kumarakom Park Resort,4.3,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,6726.0
Meenakshi River Villa | Rooms & Wi-Fi,4.5,kumarakom,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3488.0
Kumarakom Wood Castle,4.4,kumarakom,Sleeps 3,1 bedroom,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2861.0
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7999.0
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3724.0
Treebo Trend Kuval Inn,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Full-service laundry,Kid-friendly,0,0,2084.0
Hotel Corporate Stay,4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2123.0
Jugglers Backpack,4.7,pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Business center,1116.0
Hyatt Pune,4.4,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,9701.0
"The Central Park Hotel, Pune",4.1,pune,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,3708.0
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6796.0
Hotel Phoenix,4.0,pune,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2752.0
Hotel anvisha executive,4.4,pune,0,0,0,0,0,0,0,0,0,1067.0
EMA Family Rooms,3.8,pune,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,No crib,1241.0
JM Four Hotel,3.9,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2550.0
Royal Orchid Central Pune,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5085.0
"StayBird - B Suite, Business Hotel",4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2512.0
Hotel Sardar,3.5,pune,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,1344.0
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4549.0
Procida Hostel by Zero Jhanjhat,4.4,pune,Breakfast,Free Wi-Fi,Pool,Restaurant,Full-service laundry,0,0,0,0,921.0
The Oakwood,4.0,pune,4-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,3333.0
Sheraton Grand Pune Bund Garden Hotel,4.5,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9435.0
Pratikruti The Lakeview Resort,4.2,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,1284.0
Hotel Centro,4.4,pune,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,2607.0
St Laurn Hotel,3.9,pune,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,4381.0
Cherry Tree | Rooms & Wi-Fi,3.6,pune,Sleeps 3,1 bedroom,Air conditioning,Fireplace,Free parking,Free Wi-Fi,No crib,No elevator,No fitness center,1588.0
Fairfield by Marriott Pune Kharadi,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,7280.0
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4549.0
Novotel Chennai Sipcot,4.7,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5145.0
Park Plaza Chennai OMR,4.1,chennai,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4704.0
Avenue 11 Boutique Residences | Rooms & Caretaker,4.0,chennai,Sleeps 8,3 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3853.0
"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",3.4,chennai,Villa,Sleeps 10,4 bedrooms,7 bathrooms,Air conditioning,Pool,Kitchen,Smoke-free,Free parking,9753.0
Juhu Beach House ECR,4.5,chennai,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Kitchen,Full-service laundry,0,0,4965.0
Umino Beach Resort Banquet Hall and Restaurant,4.3,chennai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,3677.0
VGP Golden Beach Resort,3.9,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access,4267.0
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",4.2,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,3366.0
Turyaa Chennai,4.3,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3797.0
Blue Lagoon Beach Resort,3.9,chennai,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,6402.0
Fairfield by Marriott Chennai OMR,4.2,chennai,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3707.0
Four Points by Sheraton Chennai OMR,4.2,chennai,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,5053.0
"Taj Club House, Chennai",4.4,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,7552.0
"Vivanta Chennai, IT Expressway",4.3,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,5485.0
Ilara Hotels & Spa,4.6,chennai,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,4234.0
Maroma Suites,4.5,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,3795.0
The Madras Grand - Hotel Egmore,4.5,chennai,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,4974.0
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3859.0
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,delhi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7825.0
ट्राइडेंट होटल,4.6,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,12272.0
Nu Delhi Homestay - Deluxe Double Room,4.6,delhi,House,Sleeps 2,1 bedroom,1 bathroom,2 beds,Air conditioning,Crib,Fitness center,Heating,1999.0
The Leela Ambience Convention Hotel Delhi,4.5,delhi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9809.0
Hotel City Park- Hotels in Delhi,4.2,delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5376.0
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,4.6,delhi,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1212.0
JRD Pride,4.4,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4720.0
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,delhi,5-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,7285.0
IIDL Suites,4.3,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5720.0
Park Inn by Radisson New Delhi IP Extension,4.3,delhi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6828.0
IIDL Suites,3.8,delhi,Apartment,Sleeps 10,Air conditioning,Airport shuttle,Elevator,Fireplace,Fitness center,Hot tub,Kitchen,6163.0
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,8141.0
Sarovar Portico Naraina,3.9,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,4536.0
Hyatt Centric Janakpuri New Delhi,3.8,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7484.0
"Taj Palace, New Delhi",4.7,delhi,5-star hotel,Breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,15050.0
The Pamposh,3.7,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Business center,Kid-friendly,0,3931.0
Caves by Craftels,4.7,delhi,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Restaurant,Room service,5040.0
Bloomrooms @ Janpath,4.4,delhi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Full-service laundry,6451.0
Ramada by Wyndham New Delhi Pitampura,3.9,delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Accessible,6305.0
Bloom Boutique | GK-1,4.2,delhi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,4659.0
The Grand Parisian,4.2,delhi,3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,4673.0
amigosindia,4.5,delhi,1-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,706.0
Holiday Inn Express New Delhi Int'l Airport T3,4.2,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Fitness center,Spa,Paid parking,Bar,Restaurant,14081.0
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10195.0
Treebo Trend Lazystay Grand - Hotel in Bhubaneswar,4.1,bhubaneswar,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,2920.0
"MAYFAIR Convention, Bhubaneswar",4.5,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,6476.0
Hello Stay Hotel Bhubaneswar,4.2,bhubaneswar,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,1231.0
Hotel SJ Pride,4.8,bhubaneswar,2-star hotel,Free Wi-Fi,Pool,Restaurant,Kitchen,Airport shuttle,Full-service laundry,0,0,1239.0
Empires Hotel Bhubaneswar,4.1,bhubaneswar,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,3646.0
"MAYFAIR Convention, Bhubaneswar",4.5,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,5975.0
"Mango Hotels–Prangan, Bhubaneswar",4.1,bhubaneswar,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,3126.0
Mayfair Lagoon,4.6,bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,10779.0
Venus Inn Restaurant,4.1,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,1948.0
Ginger Bhubaneshwar,3.9,bhubaneswar,2-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,2959.0
THE GREENSTAR INN PREMIUM,4.6,bhubaneswar,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,0,1512.0
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3782.0
Swosti Premium - Luxury 5-Star Hotel in Bhubaneswar,4.3,bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6215.0
"Vivanta Bhubaneswar, DN Square",4.6,bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,9089.0
"Welcomhotel By ITC Hotels, Bhubaneswar-LEED Platinum Certified Premium Hotel Near the Airport| 1.5 hrs away from Puri",4.7,bhubaneswar,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7616.0
Hotel Excellency (A Unit of Excellency Resorts Pvt. Ltd.),4.1,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3395.0
Super OYO Townhouse 235 Swain Heritage,4.4,bhubaneswar,Apartment,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,2044.0
Treebo Trend Oasis,4.2,bhubaneswar,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,2854.0
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4367.0
The Westin Goa,4.6,goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,20650.0
The LaLiT Golf & Spa Resort Goa,4.4,goa,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,16756.0
Casa Seaesta Beach Cottages and Suites,3.6,goa,Sleeps 6,2 bedrooms,Air conditioning,Airport shuttle,Pool,Smoke-free,Free parking,Free Wi-Fi,No beach access,2466.0
Radisson Resort Goa Baga,4.8,goa,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4397.0
W Goa,4.5,goa,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,7435.0
"The Hosteller Goa, Arpora",4.3,goa,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,0,0,0,1157.0
Grand Hyatt Goa,4.6,goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,20307.0
Little India Beach Cottages,4.0,goa,House,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Pool,Free parking,Free Wi-Fi,No airport shuttle,6947.0
"Holiday Inn Resort Goa, an IHG Hotel",4.6,goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Beach access,11934.0
Agonda Paradise Beach Huts,4.2,goa,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib,4200.0
